№ п/п;Наименование продукта питания;Годовая норма, кг;Цена на 14.03.1991;Цена на 14.03.2001
1;Хлеб пшеничный ;59,8;0,50;12
2;Хлеб ржаной;65,3;0,20;10
3;Мука пшеничная ;18,5;0,46;10
4;Картофель;124,2 ;0,10;9
5;Капуста;30,4;0,20;8
6;Помидоры;2,8;0,85;80
7;Столовые корнеплоды;40,6;0,20;9
8;Прочие (лук);27,9;0,50;8
9;Яблоки свежие;15,1;1,50;20
10;Сахар;19,0;0,90;21
11;Говядина;4,4;2,00;85
12;Субпродукты (печень);0,5;1,40;45
13;Птица;16,1;2,40;52
14;Колбаса докторская;0,4;2,30;95
15;Копчености;0,3;3,70;200
16;Рыба свежая (минтай);10,9;0,37;80
17;Сельди ;0,8 ;1,40 ;40
18;Молоко, кефир (л);110,0;0,32;17
19;Сметана, сливки;1,6;1,70;50
20;Масло животное;2,5;3,60;70
21;Творог;9,8;1,00;45
22;Сыр и брынза;2,3;3,60;70
23;Яйца, десяток;15,2;0,90;20
24;Масло растительное (л);3,8;1,80;26
25;Маргарин;6,3;1,20;35
